"loss","profit","macd_level","target_stability","balance"
"0.004","0.01","0.1","3","250.0"
"0.004","0.01","0.1","4","250.0"
"0.004","0.01","0.1","6","250.0"
"0.004","0.01","0.15","0","748.0"
"0.004","0.01","0.15","1","181.0"
"0.004","0.01","0.15","2","181.0"
"0.004","0.01","0.15","3","181.0"
"0.004","0.01","0.15","4","181.0"
"0.004","0.01","0.15","6","181.0"
"0.004","0.01","0.2","0","680.0"
"0.004","0.01","0.2","1","341.0"
"0.004","0.01","0.2","2","341.0"
"0.004","0.01","0.2","3","341.0"
"0.004","0.01","0.2","4","341.0"
"0.004","0.01","0.2","6","341.0"
"0.004","0.01","0.25","0","590.0"
"0.004","0.01","0.25","1","251.0"
"0.004","0.01","0.25","2","251.0"
"0.004","0.01","0.25","3","251.0"
"0.004","0.01","0.25","4","251.0"
"0.004","0.01","0.25","6","251.0"
"0.004","0.01","0.3","0","590.0"
"0.004","0.01","0.3","1","251.0"
"0.004","0.01","0.3","2","251.0"
"0.004","0.01","0.3","3","251.0"
"0.004","0.01","0.3","4","251.0"
"0.004","0.01","0.3","6","251.0"
"0.004","0.01","0.35","0","552.0"
"0.004","0.01","0.35","1","213.0"
"0.004","0.01","0.35","2","213.0"
"0.004","0.01","0.35","3","213.0"
"0.004","0.01","0.35","4","213.0"
"0.004","0.01","0.35","6","213.0"
"0.004","0.01","0.4","0","627.0"
"0.004","0.01","0.4","1","19.0"
"0.004","0.01","0.4","2","19.0"
"0.004","0.01","0.4","3","19.0"
"0.004","0.01","0.4","4","19.0"
"0.004","0.01","0.4","6","19.0"
"0.004","0.01","0.45","0","281.0"
"0.004","0.01","0.45","1","247.0"
"0.004","0.01","0.45","2","247.0"
"0.004","0.01","0.45","3","247.0"
"0.004","0.01","0.45","4","247.0"
"0.004","0.01","0.45","6","247.0"
"0.004","0.01","0.5","0","-435.0"
"0.004","0.01","0.5","1","-468.0"
"0.004","0.01","0.5","2","-468.0"
"0.004","0.01","0.5","3","-468.0"
"0.004","0.01","0.5","4","-468.0"
"0.004","0.01","0.5","6","-468.0"
