"date","amount","sum","action","price","status","income","balance","source"
"2021-01-29 17:00:00",200,-51694.00000000001,"buy",258.47,"close",737.9999999999995,337.4759999999951,"strategy"
"2021-01-29 18:00:00",200,-51598.0,"buy",257.99,"close",0,-51260.524000000005,"strategy"
"2021-01-02 13:00:00",200,52629.96000000001,"sell",263.1498,"close",1031.9600000000037,1369.4360000000015,"take_profit"
"2021-01-02 14:00:00",200,-52628.0,"buy",263.14,"close",0,-51258.564,"strategy"
"2021-01-02 14:00:00",200,52470.115999999995,"sell",262.35058,"close",-157.88400000000138,1211.551999999996,"stop_loss"
"2021-01-02 15:00:00",200,52476.0,"sell",262.38,"close",0,53687.551999999996,"strategy"
"2021-01-02 18:00:00",200,-52633.428,"buy",263.16714,"close",-157.42800000000443,1054.1239999999962,"stop_loss"
"2021-01-02 19:00:00",200,52648.0,"sell",263.24,"close",0,53702.123999999996,"strategy"
"2021-01-02 20:00:00",200,-52805.944,"buy",264.02972,"close",-157.9439999999977,896.179999999993,"stop_loss"
"2021-02-02 07:00:00",200,53000.0,"sell",265.0,"close",0,53896.17999999999,"strategy"
"2021-02-02 07:00:00",200,-53159.0,"buy",265.795,"close",-159.00000000000318,737.179999999993,"stop_loss"
"2021-02-02 08:00:00",200,-52862.0,"buy",264.31,"close",0,-52124.82000000001,"strategy"
"2021-02-02 08:00:00",200,52703.414,"sell",263.51707,"close",-158.5860000000025,578.59399999999,"stop_loss"
"2021-02-02 09:00:00",200,52860.0,"sell",264.3,"close",0,53438.59399999999,"strategy"
"2021-02-02 09:00:00",200,-53018.579999999994,"buy",265.0929,"close",-158.57999999999493,420.0139999999956,"stop_loss"
"2021-02-02 10:00:00",200,-53090.0,"buy",265.45,"close",0,-52669.986000000004,"strategy"
"2021-02-02 12:00:00",200,53040.0,"sell",265.2,"close",-50.0,370.0139999999956,"strategy"
"2021-02-02 13:00:00",200,-53300.0,"buy",266.5,"close",0,-52929.986000000004,"strategy"
"2021-02-02 16:00:00",200,53402.0,"sell",267.01,"close",101.99999999999818,472.0139999999956,"strategy"
"2021-02-02 17:00:00",200,53179.99999999999,"sell",265.9,"close",0,53652.01399999999,"strategy"
"2021-03-02 08:00:00",200,-53079.99999999999,"buy",265.4,"close",100.0,572.0139999999956,"strategy"
"2021-03-02 09:00:00",200,-53196.0,"buy",265.98,"close",0,-52623.986000000004,"strategy"
"2021-03-02 09:00:00",200,53036.412000000004,"sell",265.18206000000004,"close",-159.58799999999655,412.4259999999995,"stop_loss"
"2021-03-02 10:00:00",200,53000.0,"sell",265.0,"close",0,53412.426,"strategy"
"2021-03-02 11:00:00",200,-53044.00000000001,"buy",265.22,"close",-44.00000000000546,368.4259999999922,"strategy"
"2021-03-02 12:00:00",200,52914.0,"sell",264.57,"close",0,53282.42599999999,"strategy"
"2021-03-02 17:00:00",200,-52450.0,"buy",262.25,"close",463.99999999999864,832.4259999999922,"strategy"
"2021-03-02 18:00:00",200,-52491.99999999999,"buy",262.46,"close",0,-51659.574,"strategy"
"2021-04-02 12:00:00",200,53182.00000000001,"sell",265.91,"close",690.0000000000091,1522.4260000000068,"strategy"
"2021-04-02 13:00:00",200,53220.00000000001,"sell",266.1,"close",0,54742.426000000014,"strategy"
"2021-04-02 13:00:00",200,-53379.66,"buy",266.8983,"close",-159.65999999999667,1362.7660000000105,"stop_loss"
"2021-04-02 14:00:00",200,-53528.0,"buy",267.64,"close",0,-52165.23399999999,"strategy"
"2021-04-02 16:00:00",200,53640.0,"sell",268.2,"close",112.00000000000045,1474.7660000000105,"strategy"
"2021-04-02 17:00:00",200,-53794.00000000001,"buy",268.97,"close",0,-52319.234,"strategy"
"2021-04-02 18:00:00",200,53741.99999999999,"sell",268.71,"close",-52.00000000000955,1422.765999999996,"strategy"
"2021-04-02 19:00:00",200,53814.0,"sell",269.07,"close",0,55236.765999999996,"strategy"
"2021-04-02 20:00:00",200,-53975.441999999995,"buy",269.87721,"close",-161.44199999999955,1261.3240000000005,"stop_loss"
"2021-05-02 07:00:00",200,54398.0,"sell",271.99,"close",0,55659.324,"strategy"
"2021-05-02 10:00:00",200,-54322.0,"buy",271.61,"close",75.99999999999909,1337.3240000000005,"strategy"
"2021-05-02 11:00:00",200,54264.0,"sell",271.32,"close",0,55601.324,"strategy"
"2021-05-02 16:00:00",200,-54282.00000000001,"buy",271.41,"close",-18.000000000006366,1319.3239999999932,"strategy"
"2021-05-02 17:00:00",200,54184.0,"sell",270.92,"close",0,55503.32399999999,"strategy"
"2021-05-02 17:00:00",200,-54346.55200000001,"buy",271.73276000000004,"close",-162.55200000000514,1156.7719999999827,"stop_loss"
"2021-05-02 18:00:00",200,54312.0,"sell",271.56,"close",0,55468.77199999998,"strategy"
"2021-08-02 07:00:00",200,-54474.936,"buy",272.37468,"close",-162.93600000000197,993.8359999999811,"stop_loss"
"2021-08-02 08:00:00",200,-55000.0,"buy",275.0,"close",0,-54006.16400000002,"strategy"
"2021-08-02 08:00:00",200,54835.0,"sell",274.175,"close",-164.99999999999773,828.8359999999811,"stop_loss"
"2021-08-02 09:00:00",200,-54812.0,"buy",274.06,"close",0,-53983.16400000002,"strategy"
"2021-08-02 09:00:00",200,54647.564,"sell",273.23782,"close",-164.4360000000006,664.3999999999796,"stop_loss"
"2021-08-02 10:00:00",200,54734.0,"sell",273.67,"close",0,55398.39999999998,"strategy"
"2021-08-02 15:00:00",200,-54844.00000000001,"buy",274.22,"close",-110.00000000000227,554.3999999999724,"strategy"
"2021-08-02 16:00:00",200,-54879.99999999999,"buy",274.4,"close",0,-54325.60000000002,"strategy"
"2021-08-02 17:00:00",200,54920.00000000001,"sell",274.6,"close",40.000000000009095,594.3999999999869,"strategy"
"2021-08-02 18:00:00",200,54958.00000000001,"sell",274.79,"close",0,55552.399999999994,"strategy"
"2021-09-02 07:00:00",200,-55122.874,"buy",275.61437,"close",-164.87399999999752,429.52599999999074,"stop_loss"
"2021-09-02 08:00:00",200,54860.0,"sell",274.3,"close",0,55289.52599999999,"strategy"
"2021-09-02 13:00:00",200,-54216.0,"buy",271.08,"close",644.0000000000055,1073.5259999999907,"strategy"
"2021-09-02 14:00:00",200,53917.99999999999,"sell",269.59,"close",0,54991.52599999998,"strategy"
"2021-09-02 14:00:00",200,-54079.75399999999,"buy",270.39876999999996,"close",-161.75399999999627,911.7719999999899,"stop_loss"
"2021-09-02 15:00:00",200,53774.0,"sell",268.87,"close",0,54685.77199999999,"strategy"
"2021-09-02 17:00:00",200,-53664.0,"buy",268.32,"close",110.00000000000227,1021.7719999999899,"strategy"
"2021-09-02 18:00:00",200,-53766.0,"buy",268.83,"close",0,-52744.22800000001,"strategy"
"2021-10-02 08:00:00",200,53604.702,"sell",268.02351,"close",-161.29799999999932,860.4739999999874,"stop_loss"
"2021-10-02 09:00:00",200,53560.0,"sell",267.8,"close",0,54420.47399999999,"strategy"
"2021-10-02 09:00:00",200,-53720.68000000001,"buy",268.6034,"close",-160.6800000000021,699.7939999999799,"stop_loss"
"2021-10-02 10:00:00",200,-53596.0,"buy",267.98,"close",0,-52896.20600000002,"strategy"
"2021-10-02 14:00:00",200,53435.212,"sell",267.17606,"close",-160.78800000000228,539.0059999999794,"stop_loss"
"2021-10-02 15:00:00",200,53479.99999999999,"sell",267.4,"close",0,54019.00599999997,"strategy"
"2021-10-02 17:00:00",200,-53332.00000000001,"buy",266.66,"close",147.99999999999045,687.0059999999648,"strategy"
"2021-10-02 18:00:00",200,-53282.00000000001,"buy",266.41,"close",0,-52594.99400000004,"strategy"
"2021-10-02 20:00:00",200,53122.154,"sell",265.61077,"close",-159.84600000000455,527.1599999999598,"stop_loss"
